# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
229000 6.0421 728612 40.5357 27.5962 651.342 -105305 53466.2 -20.5717 12.9805 25.7175
230000 -1.93817 727888 40.5356 27.5622 651.499 -105404 53394.5 25.2811 -9.92651 -21.1691
231000 -5.22852 727975 40.5562 27.5517 651.496 -105295 53434.1 -8.51831 4.1039 -11.2712
232000 19.4158 727922 40.5445 27.5471 651.744 -105378 53410.7 8.6962 15.8479 33.7034
233000 -29.5901 729525 40.5401 27.6014 651.965 -105183 53456.2 -22.1562 -15.2435 -51.3706
234000 14.6423 728129 40.5568 27.5642 651.328 -105402 53427.5 10.5984 0.52229 32.8063
235000 4.68231 728314 40.5111 27.5943 651.516 -105320 53419.2 3.23183 -2.76608 13.5812
236000 -4.09476 729065 40.5358 27.5833 652.051 -105255 53476.2 -19.9068 26.1649 -18.5424
237000 -5.96 728610 40.4828 27.6146 651.758 -105422 53426.4 0.316597 -2.69985 -15.4968
238000 9.13534 728058 40.5216 27.5954 651.093 -105348 53453.6 5.41032 5.20184 16.7939
239000 10.5318 728182 40.4224 27.6605 651.266 -105374 53401.4 9.06951 9.91727 12.6086
240000 -9.80453 729652 40.4313 27.7044 651.403 -105403 53398.7 -15.7145 -13.9681 0.26893
241000 4.86126 729149 40.4436 27.6808 651.311 -105306 53457.5 2.53755 -5.4678 17.514
242000 4.74283 728886 40.4732 27.6349 651.681 -105378 53429.2 11.5202 0.625281 2.08307
243000 -9.34905 728194 40.3175 27.6935 652.193 -105531 53419.8 12.6678 -6.98441 -33.7305
244000 15.4979 728257 40.3856 27.6943 651.13 -105467 53415.2 -0.73952 9.69756 37.5358
245000 -17.443 728966 40.3774 27.7094 651.54 -105322 53461.1 -9.6172 -26.9246 -15.7872
246000 1.49925 727938 40.323 27.7028 651.657 -105442 53385.8 -13.0092 19.5025 -1.9955
247000 31.1361 727117 40.183 27.77 651.607 -105428 53438.1 37.9972 9.40237 46.0086
248000 -16.1779 727932 40.2422 27.7934 650.83 -105402 53459.4 -16.4755 -9.0104 -23.0478
249000 -2.01936 727278 40.263 27.7594 650.706 -105189 53486.5 12.1263 -14.877 -3.3074
250000 0.816659 727109 40.3452 27.6704 651.316 -105438 53428.5 -17.2962 31.755 -12.0088
251000 13.2698 727975 40.3711 27.7154 650.617 -105415 53399.1 9.3222 12.1077 18.3794
252000 -5.69143 728833 40.4139 27.7003 651.047 -105174 53459.1 9.84452 0.81068 -27.7295
253000 -0.694347 729029 40.4628 27.7122 650.158 -105375 53431.6 -19.9851 1.29306 16.609
254000 -3.12359 728267 40.3842 27.7275 650.382 -105381 53449.6 -12.8832 -6.99076 10.5031
255000 19.545 727775 40.3738 27.7232 650.212 -105374 53454.2 -3.65179 3.51882 58.7679
256000 -9.09621 727981 40.3587 27.7253 650.589 -105372 53497.4 -4.89367 26.4038 -48.7988
257000 1.40823 728257 40.2979 27.7831 650.463 -105437 53441.6 13.542 -5.44845 -3.86891
258000 -0.749647 727489 40.3226 27.7427 650.323 -105436 53400.2 3.29585 3.98619 -9.53098
259000 10.7901 727126 40.3558 27.7057 650.331 -105402 53403.4 12.126 -2.59796 22.8424
260000 -19.6035 727847 40.4091 27.7026 650.191 -105305 53455.6 -14.1037 -18.6578 -26.0489
261000 10.2796 727653 40.428 27.6842 650.145 -105392 53411.8 -8.10715 14.3097 24.6363
262000 -0.542041 728024 40.361 27.7386 650.28 -105431 53412.3 16.0343 -1.58327 -16.0772
263000 11.9502 727884 40.3826 27.6965 650.793 -105401 53447.9 3.88895 39.9193 -7.95775
264000 -2.62812 728203 40.3923 27.7354 650.01 -105270 53480.8 2.13248 -13.2417 3.22488
265000 -7.21436 728829 40.4483 27.6939 650.642 -105300 53498.4 -13.2889 0.113044 -8.46726
266000 0.310117 729192 40.4509 27.7229 650.241 -105258 53418.7 9.3723 -1.82392 -6.61803
267000 -0.403695 728863 40.5211 27.6656 650.166 -105303 53437.2 -4.59957 -10.7134 14.1018
268000 -3.5465 728771 40.4738 27.6927 650.208 -105382 53404.1 6.70203 -21.4187 4.0772
269000 11.9455 727971 40.4405 27.6695 650.576 -105501 53471.4 8.81817 17.3761 9.64212
