# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
251000 -647.08 730228 39.97 26.95 677.9 -106116 53421.8 -174.118 82.4572 -1849.58
252000 -690.478 730228 39.97 26.95 677.9 -105905 53479 -195.182 51.4241 -1927.68
253000 -583.687 730228 39.97 26.95 677.9 -106068 53475.4 -70.6315 74.2504 -1754.68
254000 -590.381 730228 39.97 26.95 677.9 -106066 53480.1 -95.7672 124.13 -1799.51
255000 -675.734 730228 39.97 26.95 677.9 -106076 53471.8 -173.846 87.8346 -1941.19
256000 -657.031 730228 39.97 26.95 677.9 -106156 53334.8 -123.754 102.78 -1950.12
257000 -752.716 730228 39.97 26.95 677.9 -105951 53385.8 -186.65 -77.6874 -1993.81
258000 -704.664 730228 39.97 26.95 677.9 -106022 53483.5 -123.585 13.7584 -2004.16
259000 -703.01 730228 39.97 26.95 677.9 -106166 53352.2 -218.236 43.1501 -1933.95
260000 -588.506 730228 39.97 26.95 677.9 -106059 53384.5 -9.43901 81.7072 -1837.79
261000 -634.72 730228 39.97 26.95 677.9 -106108 53423 -49.4593 82.4038 -1937.1
262000 -586.893 730228 39.97 26.95 677.9 -105876 53512.6 -60.3821 180.57 -1880.87
263000 -612.535 730228 39.97 26.95 677.9 -105954 53518.2 -31.8663 66.0384 -1871.78
264000 -657.853 730228 39.97 26.95 677.9 -105903 53466.7 -85.5493 87.704 -1975.71
265000 -666.73 730228 39.97 26.95 677.9 -106004 53470.2 -83.7874 82.8667 -1999.27
266000 -654.923 730228 39.97 26.95 677.9 -106132 53457.1 -93.4445 98.9128 -1970.24
267000 -595.246 730228 39.97 26.95 677.9 -106213 53479.4 -9.60499 139.923 -1916.06
268000 -720.506 730228 39.97 26.95 677.9 -106266 53388.9 -126.533 -2.35376 -2032.63
269000 -648.869 730228 39.97 26.95 677.9 -106276 53412.3 -97.8307 85.9599 -1934.74
270000 -553.397 730228 39.97 26.95 677.9 -106074 53434.5 3.01032 145.071 -1808.27
271000 -558.197 730228 39.97 26.95 677.9 -105975 53409.2 55.51 64.4935 -1794.59
272000 -567.196 730228 39.97 26.95 677.9 -105938 53407.3 4.19342 143.607 -1849.39
273000 -601.844 730228 39.97 26.95 677.9 -105990 53435.5 -28.1106 78.9591 -1856.38
274000 -592.906 730228 39.97 26.95 677.9 -105964 53464.3 -66.3039 104.136 -1816.55
275000 -653.872 730228 39.97 26.95 677.9 -105935 53502.5 -161.756 101.083 -1900.94
276000 -572.073 730228 39.97 26.95 677.9 -105915 53458.8 29.7478 119.951 -1865.92
277000 -648.02 730228 39.97 26.95 677.9 -105911 53383.9 -122.21 92.0026 -1913.85
278000 -675.07 730228 39.97 26.95 677.9 -105962 53396.3 -146.79 15.0582 -1893.48
279000 -658.952 730228 39.97 26.95 677.9 -105975 53383.5 -97.7287 59.3472 -1938.47
